,,,,,,,,,,,,,,,,
,We ran this method on the whole WebNLG dataset,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"1 island, bleu score evaluation, with inspirations",,,,,,,,,,,,,
,,Celestial Body,0.5881,0.3797,0.7661,0.4898,1.0000,0.9918,1.0000,1.0000,0.0000,0.0000,3.2857,127.2653,19.5510,3.2857
,,City,0.4467,0.3166,0.6781,0.3976,0.9904,0.9542,0.9687,0.9759,0.0120,0.0120,1.6867,103.8193,18.4819,3.0602
,,Comics Character,0.3517,0.2641,0.6798,0.5611,1.0000,0.9800,1.0000,1.0000,0.0000,0.0000,1.0000,116.9667,19.4667,3.5333
,,Company,0.5053,0.4073,0.7484,0.4091,1.0000,0.9727,0.9818,1.0000,0.0000,0.0000,1.2424,98.0152,15.9697,2.9697
,,Food,0.3089,0.1183,0.5401,0.8587,0.9870,0.9348,0.9870,0.9783,0.0000,0.0000,1.0000,137.1957,23.1087,4.5652
,,Mean of Transportation,0.4788,0.5192,0.7614,0.2126,0.9931,0.9655,0.9724,0.9828,0.0000,0.0000,1.4138,89.8103,15.0517,2.6724
,,Monument,0.5378,0.2863,0.6894,0.8877,1.0000,0.9739,0.9913,1.0000,0.0000,0.0000,1.0000,193.8478,27.0435,4.5652
,,Politician,0.5744,0.3057,0.7311,0.7701,1.0000,0.9862,0.9655,1.0000,0.0000,0.0000,2.3793,144.8966,25.0345,3.5862
,,Sports Team,0.4180,0.2146,0.6594,0.7992,1.0000,0.9864,0.9955,1.0000,0.0000,0.0227,1.0000,176.0682,25.8409,4.6136
,,University,0.5926,0.2680,0.7789,0.4815,1.0000,0.9756,0.9689,0.9556,0.0111,0.0000,2.1000,183.8556,26.4333,3.7000
,,Written Work,0.6347,0.3341,0.7888,0.3488,0.9674,0.9674,1.0000,0.9767,0.0000,0.0000,2.3488,94.9535,18.0000,2.3488
,,avg,0.5019,0.3443,0.7246,0.5274,0.9954,0.9743,0.9847,0.9861,0.0045,0.0022,1.7307,132.0601,21.5757,3.5205
